,date,calories,steps,dist,floors,sedant,active_light,active_fair,active_very,active_cals,sleep_start_hr,sleep_minutesAsleep,sleep_minutesAwake,sleep_awakeningsCount,sleep_timeInBed,sleep_REM,sleep_light,sleep_deep,sleep_start,sleep_efficiency
155,2018-02-03,3482,18032,13.4,24,531,158,66,150,2183,0.82,494.0,41.0,1.0,535.0,,,,00:49,92.0
156,2018-02-04,2468,5824,4.33,3,730,257,0,0,1013,3.42,411.0,41.0,3.0,453.0,,,,03:25,91.0
157,2018-02-05,3099,11271,8.37,23,781,131,88,25,1194,0.7,383.0,27.0,1.0,415.0,,,,00:42,93.0
158,2018-02-06,2879,9658,7.21,28,1345,50,25,20,523,,,,,,,,,,
159,2018-02-07,2832,11192,8.32,25,749,188,25,65,1466,0.82,785.0,85.0,4.0,873.0,,,,00:49,91.0
160,2018-02-08,2758,8359,6.21,21,691,232,31,26,1360,23.98,,,,,,,,23:59,89.0
161,2018-02-09,2939,12056,9.0,21,709,270,28,43,1643,1.12,859.0,59.0,2.0,919.0,,,,01:07,95.0
162,2018-02-10,3573,18180,13.51,13,460,278,74,100,2348,23.18,,,,,,,,23:11,93.0
163,2018-02-11,2418,6740,5.01,5,624,235,8,5,1000,0.4,513.0,55.0,3.0,568.0,,,,00:24,90.0
164,2018-02-12,2664,10959,8.23,26,747,232,28,31,1319,0.93,371.0,31.0,1.0,402.0,,,,00:56,92.0
165,2018-02-13,2964,12745,9.47,28,1440,0,0,0,0,,,,,,,,,,
166,2018-02-14,3087,11265,8.41,22,1440,0,0,0,0,,,,,,,,,,
167,2018-02-15,2680,8644,6.56,15,1276,128,12,24,769,,,,,,,,,,
168,2018-02-16,2915,10364,7.7,15,647,214,95,21,1578,0.08,416.0,45.0,2.0,463.0,,,,00:05,90.0
169,2018-02-17,2810,12611,9.65,2,702,131,41,86,1434,1.05,456.0,24.0,2.0,480.0,,,,01:03,95.0
170,2018-02-18,2740,10016,7.44,6,544,365,6,2,1464,0.93,479.0,44.0,3.0,523.0,,,,00:56,92.0
171,2018-02-19,3263,13014,9.57,29,658,219,46,86,1917,0.15,364.0,67.0,25.0,431.0,79.0,177.0,108.0,00:09,84.0
172,2018-02-20,2803,11373,8.66,38,706,264,14,34,1453,0.42,361.0,61.0,34.0,422.0,82.0,227.0,52.0,00:25,86.0
173,2018-02-21,3278,12196,9.26,26,694,167,69,109,1960,0.75,345.0,56.0,29.0,401.0,72.0,187.0,86.0,00:45,86.0
174,2018-02-22,2761,9782,7.27,18,726,217,31,44,1382,0.67,370.0,47.0,6.0,422.0,,,,00:40,89.0
